country,product_name,product_type,price_before_USD,price_after_USD,tariff_pct,date,units_sold_before,units_sold_after,latitude,longitude,Price_Delta_Pct,Volume_Delta_Pct,Price_Elasticity_of_Demand,Revenue_Before,Revenue_After,Revenue_Loss,Volume_Driven_Revenue_Loss,GDP_Trillions,CPI_Pct,Trade_List_Status,Year
Australia,Laptop,Electronics,135.02,147.05,8.91,2018-07-25,165,84,4.546442998351907,-40.13319234999118,0.08909791142053029,-0.4909090909090909,-5.50977102697801,22278.300000000003,12352.2,9926.100000000002,11911.050000000001,1.7,5.6,Potential Section 232/Tech Restrictions,2018
Brazil,Coffee,Food,13.95,18.35,31.52,2018-06-01,1654,1426,-27.20145687116381,-12.135257724002855,0.31541218637992846,-0.13784764207980654,-0.43703968341211374,23073.3,26167.100000000002,-3093.800000000003,4183.8,1.9,4.1,Standard,2018
France,Video Game Console,Electronics,576.35,824.99,43.14,2018-08-17,641,553,9.335565144317748,-87.5245305030312,0.4314045284983083,-0.1372854914196568,-0.31822913843194656,369440.35000000003,456219.47000000003,-86779.12,72599.12,2.7,5.2,Potential Section 232/Tech Restrictions,2018
France,Jeans,Apparel,169.29,243.41,43.78,2018-08-13,493,402,9.335565144317748,-87.5245305030312,0.4378285781794554,-0.1845841784989858,-0.42159006446429176,83459.97,97850.81999999999,-14390.849999999991,22150.31,2.7,5.2,Standard,2018
USA,Tablet,Electronics,419.06,559.91,33.61,2018-07-17,433,288,-38.156818103928615,-6.637310389189423,0.3361093876771822,-0.3348729792147806,-0.9963214105058288,181452.98,161254.08,20198.900000000023,81186.95,25.4,3.2,Potential Section 232/Tech Restrictions,2018
Brazil,Tablet,Electronics,473.77,532.28,12.35,2018-07-19,652,616,-27.20145687116381,-12.135257724002855,0.12349874411634336,-0.05521472392638037,-0.44708733130407163,308898.04,327884.48,-18986.440000000002,19162.079999999998,1.9,4.1,Potential Section 232/Tech Restrictions,2018
Australia,Washing Machine,Appliances,1619.2,1930.09,19.2,2018-07-05,235,139,4.546442998351907,-40.13319234999118,0.192002223320158,-0.4085106382978723,-2.127634936897022,380512.0,268282.51,112229.48999999999,185288.63999999998,1.7,5.6,Standard,2018
India,Furniture,Furniture,300.02,333.86,11.28,2018-08-11,1203,743,-28.32847492028605,-2.5918902870641745,0.11279248050130003,-0.38237738985868663,-3.3900964688357873,360924.06,248057.98,112866.07999999999,153575.6,3.4,4.5,Standard,2018
India,Video Game Console,Electronics,1356.95,1453.56,7.12,2018-06-15,413,323,-28.32847492028605,-2.5918902870641745,0.07119643317734618,-0.2179176755447942,-3.0607948434997283,560420.35,469499.88,90920.46999999997,130820.4,3.4,4.5,Potential Section 232/Tech Restrictions,2018
Australia,Video Game Console,Electronics,934.97,1378.24,47.41,2018-08-27,1576,869,4.546442998351907,-40.13319234999118,0.4741007732868434,-0.4486040609137056,-0.9462209011042645,1473512.72,1197690.56,275822.1599999999,974415.68,1.7,5.6,Potential Section 232/Tech Restrictions,2018
